"","site","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","range_ci","sig","species_from","species_to","size_from","size_to"
"322","ANU101","small Non-euc","large Eucalyptus regnans",-0.131090116536311,-0.219196832702742,-0.0429834003698799,-0.134635245650732,-0.12754498742189,"Potential 1",0.176213432332862,1,"Non-euc","Eucalyptus regnans","small","large"
"515","ANU101","small Eucalyptus regnans","small Eucalyptus regnans",0.176601543454887,-0.381885857918445,0.735088944828219,0.170550392815205,0.182652694094569,"Potential 1",1.11697480274666,NA,"Eucalyptus regnans","Eucalyptus regnans","small","small"
"618","ANU101","small Non-euc","small Eucalyptus regnans",-0.117408483532674,-0.252326030174781,0.0175090631094332,-0.119711674311728,-0.11510529275362,"Potential 1",0.269835093284214,NA,"Non-euc","Eucalyptus regnans","small","small"
"914","ANU101","small Non-euc","small Non-euc",0.135361338065569,0.000784994844221704,0.269937681286916,0.128131628103423,0.142591048027715,"Potential 1",0.269152686442695,1,"Non-euc","Non-euc","small","small"
"137","Ada Tree","large Eucalyptus regnans","large Eucalyptus regnans",-0.497868053169739,-0.779537569481033,-0.216198536858446,-0.511876293103767,-0.483859813235712,"Potential 1",0.563339032622588,1,"Eucalyptus regnans","Eucalyptus regnans","large","large"
"226","Ada Tree","small Eucalyptus regnans","large Eucalyptus regnans",-0.230531640416644,-0.448182453162696,-0.0128808276705927,-0.23635811386499,-0.224705166968299,"Potential 1",0.435301625492103,1,"Eucalyptus regnans","Eucalyptus regnans","small","large"
"323","Ada Tree","small Non-euc","large Eucalyptus regnans",0.0809133838235778,-0.050792100695324,0.21261886834248,0.0755855129536611,0.0862412546934946,"Potential 1",0.263410969037804,NA,"Non-euc","Eucalyptus regnans","small","large"
"516","Ada Tree","small Eucalyptus regnans","small Eucalyptus regnans",-0.499224656183975,-1.07852866961529,0.0800793572473373,-0.510579911516208,-0.487869400851742,"Potential 1",1.15860802686262,NA,"Eucalyptus regnans","Eucalyptus regnans","small","small"
"619","Ada Tree","small Non-euc","small Eucalyptus regnans",0.164996819924243,-0.0250347899453716,0.355028429793857,0.159890905604081,0.170102734244404,"Potential 1",0.380063219739229,NA,"Non-euc","Eucalyptus regnans","small","small"
"915","Ada Tree","small Non-euc","small Non-euc",-0.0109573962205325,-0.171629629867689,0.149714837426624,-0.023201096209254,0.00128630376818896,"Potential 1",0.321344467294313,NA,"Non-euc","Non-euc","small","small"
"138","Weeaproinah","large Eucalyptus regnans","large Eucalyptus regnans",-0.594914859534361,-0.849116709158846,-0.340713009909875,-0.616490130540788,-0.573339588527933,"Potential 1",0.508403699248971,1,"Eucalyptus regnans","Eucalyptus regnans","large","large"
"227","Weeaproinah","small Eucalyptus regnans","large Eucalyptus regnans",-0.186574954250131,-0.316241515452019,-0.0569083930482431,-0.19153341324844,-0.181616495251821,"Potential 1",0.259333122403776,1,"Eucalyptus regnans","Eucalyptus regnans","small","large"
"324","Weeaproinah","small Non-euc","large Eucalyptus regnans",0.0280118848577794,-0.0457431602372563,0.101766929952815,0.0245166603795151,0.0315071093360437,"Potential 1",0.147510090190071,NA,"Non-euc","Eucalyptus regnans","small","large"
"517","Weeaproinah","small Eucalyptus regnans","small Eucalyptus regnans",-0.0315247467175984,-0.207669151335965,0.144619657900768,-0.0391742664176077,-0.0238752270175891,"Potential 1",0.352288809236733,NA,"Eucalyptus regnans","Eucalyptus regnans","small","small"
"620","Weeaproinah","small Non-euc","small Eucalyptus regnans",0.0183231634047896,-0.030444128662827,0.0670904554724061,0.0161099798993732,0.0205363469102059,"Potential 1",0.0975345841352331,NA,"Non-euc","Eucalyptus regnans","small","small"
"916","Weeaproinah","small Non-euc","small Non-euc",0.199793387539917,0.0971798146465526,0.302406960433281,0.184010910882303,0.215575864197531,"Potential 1",0.205227145786728,1,"Non-euc","Non-euc","small","small"
"139","ANU363","large Eucalyptus regnans","large Eucalyptus regnans",-0.660188454960442,-0.964012212207958,-0.356364697712926,-0.677064101939098,-0.643312807981785,"Potential 1",0.607647514495031,1,"Eucalyptus regnans","Eucalyptus regnans","large","large"
"140","ANU589","large Eucalyptus regnans","large Eucalyptus regnans",-0.383836355595773,-0.657210026620037,-0.110462684571508,-0.397607931424057,-0.370064779767488,"Potential 1",0.546747342048529,1,"Eucalyptus regnans","Eucalyptus regnans","large","large"
"228","ANU589","small Eucalyptus regnans","large Eucalyptus regnans",0.125459447737929,-0.121657594228628,0.372576489704486,0.11891448752511,0.132004407950747,"Potential 1",0.494234083933114,NA,"Eucalyptus regnans","Eucalyptus regnans","small","large"
"325","ANU589","small Non-euc","large Eucalyptus regnans",-0.0799699967307056,-0.159294363654827,-0.000645629806584572,-0.0830961019346649,-0.0768438915267463,"Potential 1",0.158648733848242,1,"Non-euc","Eucalyptus regnans","small","large"
"518","ANU589","small Eucalyptus regnans","small Eucalyptus regnans",0.167648806174893,-0.268143721958414,0.603441334308201,0.161443297377463,0.173854314972323,"Potential 1",0.871585056266615,NA,"Eucalyptus regnans","Eucalyptus regnans","small","small"
"621","ANU589","small Non-euc","small Eucalyptus regnans",-0.130308594791976,-0.285779646511335,0.0251624569273824,-0.133451651486733,-0.127165538097219,"Potential 1",0.310942103438717,NA,"Non-euc","Eucalyptus regnans","small","small"
"917","ANU589","small Non-euc","small Non-euc",0.216431340763375,0.0916061373138392,0.341256544212911,0.206635575133153,0.226227106393598,"Potential 1",0.249650406899072,1,"Non-euc","Non-euc","small","small"
"144","Turtons","large Eucalyptus regnans","large Eucalyptus regnans",-0.444186430221809,-0.816977232220586,-0.0713956282230324,-0.454404206011244,-0.433968654432375,"Potential 1",0.745581603997554,1,"Eucalyptus regnans","Eucalyptus regnans","large","large"
"229","Turtons","large Non-euc","large Eucalyptus regnans",-0.198353483462031,-0.589721974507371,0.193015007583309,-0.205155671612238,-0.191551295311824,"Potential 1",0.78273698209068,NA,"Non-euc","Eucalyptus regnans","large","large"
"326","Turtons","small Non-euc","large Eucalyptus regnans",0.0597126232032332,-0.04579822246844,0.165223468874906,0.0559799073907415,0.0634453390157248,"Potential 1",0.211021691343346,NA,"Non-euc","Eucalyptus regnans","small","large"
"519","Turtons","large Non-euc","large Non-euc",-0.715492627272115,-2.06268849902508,0.631703244480853,-0.731906386764125,-0.699078867780105,"Potential 1",2.69439174350594,NA,"Non-euc","Non-euc","large","large"
"622","Turtons","small Non-euc","large Non-euc",0.165691652584573,-0.0329349733857143,0.36431827855486,0.160858867466106,0.17052443770304,"Potential 1",0.397253251940574,NA,"Non-euc","Non-euc","small","large"
"918","Turtons","small Non-euc","small Non-euc",0.108334552298639,-0.00890573515731102,0.225574839754588,0.0954048624855675,0.12126424211171,"Potential 1",0.234480574911899,NA,"Non-euc","Non-euc","small","small"
"145","Lardner","large Eucalyptus regnans","large Eucalyptus regnans",-0.181122396047173,-0.354228340630092,-0.00801645146425392,-0.187961928768376,-0.17428286332597,"Potential 1",0.346211889165838,1,"Eucalyptus regnans","Eucalyptus regnans","large","large"
"230","Lardner","small Eucalyptus regnans","large Eucalyptus regnans",0.0767632610037868,-0.214522306803939,0.368048828811513,0.0714718062366889,0.0820547157708847,"Potential 1",0.582571135615451,NA,"Eucalyptus regnans","Eucalyptus regnans","small","large"
"327","Lardner","small Non-euc","large Eucalyptus regnans",0.00394099501741309,-0.089314644872116,0.0971966349069422,-0.000522958427739128,0.0084049484625653,"Potential 1",0.186511279779058,NA,"Non-euc","Eucalyptus regnans","small","large"
"520","Lardner","small Eucalyptus regnans","small Eucalyptus regnans",-0.687208281173326,-2.21792692162474,0.843510359278092,-0.708255884995599,-0.666160677351052,"Potential 1",3.06143728090284,NA,"Eucalyptus regnans","Eucalyptus regnans","small","small"
"623","Lardner","small Non-euc","small Eucalyptus regnans",0.171270406108616,-0.0706590503143238,0.413199862531555,0.165961250379639,0.176579561837593,"Potential 1",0.483858912845879,NA,"Non-euc","Eucalyptus regnans","small","small"
"919","Lardner","small Non-euc","small Non-euc",-0.172353778305497,-0.347091173218527,0.00238361660753281,-0.189171878496082,-0.155535678114912,"Potential 1",0.349474789826059,NA,"Non-euc","Non-euc","small","small"
"146","HardyCreek","large Eucalyptus regnans","large Eucalyptus regnans",-0.207598926779952,-0.426877299348244,0.0116794457883402,-0.215648060307215,-0.199549793252688,"Potential 1",0.438556745136584,NA,"Eucalyptus regnans","Eucalyptus regnans","large","large"
"233","HardyCreek","small Eucalyptus regnans","large Eucalyptus regnans",0.0174036332003874,-0.206520659436892,0.241327925837667,0.0137389397331745,0.0210683266676003,"Potential 1",0.447848585274559,NA,"Eucalyptus regnans","Eucalyptus regnans","small","large"
"328","HardyCreek","small Non-euc","large Eucalyptus regnans",0.0366927054210618,-0.107506274396253,0.180891685238377,0.0331217936098367,0.040263617232287,"Potential 1",0.288397959634629,NA,"Non-euc","Eucalyptus regnans","small","large"
"521","HardyCreek","small Eucalyptus regnans","small Eucalyptus regnans",-0.0716774872057371,-0.590236156005229,0.446881181593754,-0.0762864478866204,-0.0670685265248537,"Potential 1",1.03711733759898,NA,"Eucalyptus regnans","Eucalyptus regnans","small","small"
