"","from","to","alpha","mean_effect","quan_0","quan_25","quan_50","quan_75","quan_100","site","class_int","species_from","species_to","which_species","int","group","se","sig","lo","hi","range_ci"
"259","Hedycarya angustifolia large","Hedycarya angustifolia large",-0.386580821948106,0.437973592050482,0.0229078773343772,0.132461544848155,0.355022954418889,0.70106612130037,1.21650014767339,"Turtons","large_large","Hedycarya angustifolia","Hedycarya angustifolia","within","Hedycarya angustifolia large_Hedycarya angustifolia large","within_species_large_large",0.396318217453256,NA,-1.16232196949046,0.391216895760533,1.55353886525099
"260","Olearia argophylla large","Olearia argophylla large",-0.341480522156305,0.501895055443523,0.0352453267475107,0.224619737481925,0.555587453730547,0.762245122121311,0.981593429518329,"Turtons","large_large","Olearia argophylla","Olearia argophylla","within","Olearia argophylla large_Olearia argophylla large","within_species_large_large",0.300966721646304,NA,-0.938556782925442,0.241211087018251,1.17976786994369
"261","Hedycarya angustifolia large","Nematolepis squamea subsp squamea small",-0.34112538612156,0.58110869893533,0.0730913382399408,0.345766552700811,0.596407689953754,0.836175474608644,0.989907938394702,"Turtons","large_small","Hedycarya angustifolia","Nematolepis squamea","between","Hedycarya angustifolia large_Nematolepis squamea subsp squamea small","between_species_large_small",NA,NA,NA,NA,NA
"262","Eucalyptus regnans large","Hedycarya angustifolia small",-0.296327359907964,0.395682527621044,0.158203700100295,0.307743559530895,0.382942416248894,0.470284938152345,0.787569289104906,"Turtons","large_small","Eucalyptus regnans","Hedycarya angustifolia","between","Eucalyptus regnans large_Hedycarya angustifolia small","between_species_large_small",NA,NA,NA,NA,NA
"263","Olearia argophylla large","Nematolepis squamea subsp squamea small",-0.283530343798656,0.592539192081812,0.1065685272033,0.407528729227404,0.661851128284864,0.786746726444396,0.934569624398134,"Turtons","large_small","Olearia argophylla","Nematolepis squamea","between","Olearia argophylla large_Nematolepis squamea subsp squamea small","between_species_large_small",0.158112521596077,NA,-0.593377007960246,0.0264126877059994,0.619789695666245
"264","Hedycarya angustifolia large","Nematolepis squamea subsp squamea large",-0.217051072042546,0.621214376976428,0.15159470437996,0.38718448964108,0.633439115450802,0.859172344257934,0.993566788798702,"Turtons","large_large","Hedycarya angustifolia","Nematolepis squamea","between","Hedycarya angustifolia large_Nematolepis squamea subsp squamea large","between_species_large_large",NA,NA,NA,NA,NA
"265","Nematolepis squamea subsp squamea large","Acacia melanoxylon large",-0.193548753409666,0.574345667884968,0.0910177729368024,0.437697804364182,0.624010093110744,0.743596199844443,0.908438866427417,"Turtons","large_large","Nematolepis squamea","Acacia melanoxylon","between","Nematolepis squamea subsp squamea large_Acacia melanoxylon large","between_species_large_large",0.345254916876926,NA,-0.875566564276844,0.477807840851448,1.35337440512829
"266","Eucalyptus regnans small","Olearia argophylla small",-0.190256203026341,0.467896141177508,0.219924874745496,0.396845519626873,0.471762509930399,0.539888274841111,0.797539047810781,"Turtons","small_small","Eucalyptus regnans","Olearia argophylla","between","Eucalyptus regnans small_Olearia argophylla small","between_species_small_small",NA,NA,NA,NA,NA
"267","Hedycarya angustifolia large","Acacia melanoxylon small",-0.178962690814816,0.736387856040893,0.290442052060858,0.575943991631573,0.77344269161394,0.90571687843226,0.994692694772101,"Turtons","large_small","Hedycarya angustifolia","Acacia melanoxylon","between","Hedycarya angustifolia large_Acacia melanoxylon small","between_species_large_small",0.187204681848326,NA,-0.551264928425701,0.182563939894296,0.733828868319997
"268","Nematolepis squamea subsp squamea large","Olearia argophylla small",-0.178491051826482,0.650745657566332,0.157079064434445,0.553276691996676,0.706326071394906,0.790353243822649,0.915608032822172,"Turtons","large_small","Nematolepis squamea","Olearia argophylla","between","Nematolepis squamea subsp squamea large_Olearia argophylla small","between_species_large_small",NA,NA,NA,NA,NA
"269","Nematolepis squamea subsp squamea large","Nematolepis squamea subsp squamea large",-0.177889279649398,0.456511946372604,0.0163868559478339,0.214493988819648,0.503937874546819,0.681968332881834,0.929545433221507,"Turtons","large_large","Nematolepis squamea","Nematolepis squamea","within","Nematolepis squamea subsp squamea large_Nematolepis squamea subsp squamea large","within_species_large_large",0.222390705096456,NA,-0.625818080845573,0.245937464125472,0.871755544971045
"270","Olearia argophylla small","Hedycarya angustifolia small",-0.166885704005976,0.485760277375012,0.176317758552895,0.349346454843858,0.478038693187126,0.601230203184693,0.895308230653477,"Turtons","small_small","Olearia argophylla","Hedycarya angustifolia","between","Olearia argophylla small_Hedycarya angustifolia small","between_species_small_small",0.112816733095957,NA,-0.38855984230301,0.0536736251400782,0.442233467443088
