"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","se","site","range_ci","size_from","size_to","species_from","species_to","size_int","georegion","sig","class_from","class_to","class_int","group"
"48","Allocasuarina decussata small","Allocasuarina decussata large",-0.0171476671962712,-0.129011128919621,0.0947157945270781,-0.0193571939592216,-0.0149381404333208,0.0570742435094288,"Giants",0.223726923446699,"small","large","Allocasuarina decussata","Allocasuarina decussata","small_large","S_WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.large_Subcanopy.small"
"49","Eucalyptus jacksonii large","Allocasuarina decussata large",-0.274016437526834,-0.547925170305105,-0.000107704748562476,-0.280417967761827,-0.267614907291841,0.139751921432653,"Giants",0.547817465556543,"large","large","Eucalyptus jacksonii","Allocasuarina decussata","large_large","S_WA",1,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.large_Subcanopy.large"
"50","Eucalyptus jacksonii small","Allocasuarina decussata large",-0.00940671318820946,-0.183825368142584,0.165011941766165,-0.0139846091357539,-0.00482881724066505,0.0889907448964201,"Giants",0.34883730990875,"small","large","Eucalyptus jacksonii","Allocasuarina decussata","small_large","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.large"
"51","Allocasuarina decussata small","Allocasuarina decussata small",0.327276579900018,0.191267491360568,0.463285668439468,0.319764443367486,0.33478871643255,0.0693936672368842,"Giants",0.2720181770789,"small","small","Allocasuarina decussata","Allocasuarina decussata","small_small","S_WA",1,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.small_Subcanopy.small"
"52","Eucalyptus jacksonii large","Allocasuarina decussata small",-0.0177342794572475,-0.187845568848917,0.152377009934422,-0.020577834569891,-0.014890724344604,0.0867930690224339,"Giants",0.340222578783339,"large","small","Eucalyptus jacksonii","Allocasuarina decussata","large_small","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.large_Subcanopy.small"
"53","Eucalyptus jacksonii small","Allocasuarina decussata small",-0.0275229785075493,-0.125054093643077,0.0700081366279787,-0.02961406069237,-0.0254318963227287,0.0497616874110142,"Giants",0.195062230271056,"small","small","Eucalyptus jacksonii","Allocasuarina decussata","small_small","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.small"
"54","Eucalyptus jacksonii large","Eucalyptus jacksonii large",-0.508496516723107,-0.994149598158121,-0.0228434352880932,-0.533171367269355,-0.48382166617686,0.247786737545069,"Giants",0.971306162870028,"large","large","Eucalyptus jacksonii","Eucalyptus jacksonii","large_large","S_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"55","Eucalyptus jacksonii small","Eucalyptus jacksonii large",0.370239282412033,0.0998630934181441,0.640615471405922,0.354649456535593,0.385829108288473,0.137949570056686,"Giants",0.540752377987778,"small","large","Eucalyptus jacksonii","Eucalyptus jacksonii","small_large","S_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"56","Eucalyptus jacksonii small","Eucalyptus jacksonii small",0.337272855913338,0.171818500287407,0.502727211539269,0.325563780324612,0.348981931502064,0.0844170387471475,"Giants",0.330908711251863,"small","small","Eucalyptus jacksonii","Eucalyptus jacksonii","small_small","S_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"57","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.141183720438501,-0.38007413039263,0.0977066895156284,-0.147352800473398,-0.135014640403604,0.121885101888844,"Warren",0.477780819908259,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
