,from,to,alpha,lo,hi,lo_numerical,hi_numerical,Potential,site,range_ci,size_from,size_to,species_from,species_to,size_int,georegion,region,sig,class_from,class_to,class_int
74,Trymalium odoratissimum small,Trymalium odoratissimum small,0.218426754,0.037770436,0.399083071,0.213617873,0.223235635,Potential 1,Carey,0.361312636,small,small,Trymalium odoratissimum,Trymalium odoratissimum,small_small,N_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy
75,Allocasuarina decussata large,Allocasuarina decussata large,-0.197498647,-0.543379839,0.148382546,-0.204416475,-0.190580818,Potential 1,Dombakup,0.691762385,large,large,Allocasuarina decussata,Allocasuarina decussata,large_large,N_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
76,Allocasuarina decussata small,Allocasuarina decussata large,-0.018029297,-0.131580443,0.095521848,-0.020802821,-0.015255774,Potential 1,Dombakup,0.22710229,small,large,Allocasuarina decussata,Allocasuarina decussata,small_large,N_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
77,Eucalyptus diversicolor large,Allocasuarina decussata large,0.191970208,-0.137433345,0.521373761,0.187206171,0.196734245,Potential 1,Dombakup,0.658807107,large,large,Eucalyptus diversicolor,Allocasuarina decussata,large_large,N_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
78,Eucalyptus diversicolor small,Allocasuarina decussata large,-0.146768343,-0.363405585,0.069868899,-0.150241405,-0.143295281,Potential 1,Dombakup,0.433274484,small,large,Eucalyptus diversicolor,Allocasuarina decussata,small_large,N_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
79,Trymalium odoratissimum large,Allocasuarina decussata large,0.17228819,-0.32707633,0.671652709,0.166512896,0.178063484,Potential 1,Dombakup,0.998729039,large,large,Trymalium odoratissimum,Allocasuarina decussata,large_large,N_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
80,Trymalium odoratissimum small,Allocasuarina decussata large,-0.217881251,-0.439932343,0.004169842,-0.221858752,-0.213903749,Potential 1,Dombakup,0.444102185,small,large,Trymalium odoratissimum,Allocasuarina decussata,small_large,N_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
81,Allocasuarina decussata small,Allocasuarina decussata small,0.399303557,0.280482228,0.518124885,0.388719443,0.40988767,Potential 1,Dombakup,0.237642657,small,small,Allocasuarina decussata,Allocasuarina decussata,small_small,N_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy
82,Eucalyptus diversicolor large,Allocasuarina decussata small,0.004660663,-0.19062894,0.199950267,0.001520491,0.007800836,Potential 1,Dombakup,0.390579208,large,small,Eucalyptus diversicolor,Allocasuarina decussata,large_small,N_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
83,Eucalyptus diversicolor small,Allocasuarina decussata small,0.024983515,-0.073959298,0.123926328,0.022306187,0.027660843,Potential 1,Dombakup,0.197885626,small,small,Eucalyptus diversicolor,Allocasuarina decussata,small_small,N_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
84,Trymalium odoratissimum large,Allocasuarina decussata small,0.006909368,-0.182108888,0.195927625,0.003081353,0.010737384,Potential 1,Dombakup,0.378036512,large,small,Trymalium odoratissimum,Allocasuarina decussata,large_small,N_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
85,Trymalium odoratissimum small,Allocasuarina decussata small,-0.020308093,-0.086424128,0.045807942,-0.02400956,-0.016606625,Potential 1,Dombakup,0.13223207,small,small,Trymalium odoratissimum,Allocasuarina decussata,small_small,N_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
86,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.441777134,-1.008606881,0.125052613,-0.44846451,-0.435089758,Potential 1,Dombakup,1.133659494,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
87,Eucalyptus diversicolor small,Eucalyptus diversicolor large,0.205136977,-0.134417564,0.544691517,0.201043755,0.209230199,Potential 1,Dombakup,0.679109081,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
88,Trymalium odoratissimum large,Eucalyptus diversicolor large,0.337902995,-0.256267953,0.932073943,0.33056031,0.345245679,Potential 1,Dombakup,1.188341896,large,large,Trymalium odoratissimum,Eucalyptus diversicolor,large_large,N_WA,WA,NA,Canopy,Subcanopy,Subcanopy_Canopy
89,Trymalium odoratissimum small,Eucalyptus diversicolor large,0.025547145,-0.169726347,0.220820636,0.022502551,0.028591738,Potential 1,Dombakup,0.390546983,small,large,Trymalium odoratissimum,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Canopy,Subcanopy,Subcanopy_Canopy
90,Eucalyptus diversicolor small,Eucalyptus diversicolor small,-0.010352397,-0.32157064,0.300865846,-0.015654138,-0.005050656,Potential 1,Dombakup,0.622436486,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
91,Trymalium odoratissimum large,Eucalyptus diversicolor small,-0.043452416,-0.410862972,0.323958139,-0.047611688,-0.039293145,Potential 1,Dombakup,0.734821111,large,small,Trymalium odoratissimum,Eucalyptus diversicolor,large_small,N_WA,WA,NA,Canopy,Subcanopy,Subcanopy_Canopy
92,Trymalium odoratissimum small,Eucalyptus diversicolor small,-0.096481805,-0.264738995,0.071775385,-0.100035627,-0.092927983,Potential 1,Dombakup,0.33651438,small,small,Trymalium odoratissimum,Eucalyptus diversicolor,small_small,N_WA,WA,NA,Canopy,Subcanopy,Subcanopy_Canopy
93,Trymalium odoratissimum large,Trymalium odoratissimum large,-0.342066826,-1.286615482,0.602481829,-0.35372913,-0.330404522,Potential 1,Dombakup,1.88909731,large,large,Trymalium odoratissimum,Trymalium odoratissimum,large_large,N_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
94,Trymalium odoratissimum small,Trymalium odoratissimum large,0.234929479,-0.075285859,0.545144817,0.2287566,0.241102358,Potential 1,Dombakup,0.620430676,small,large,Trymalium odoratissimum,Trymalium odoratissimum,small_large,N_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
