from,to,alpha,lo,hi,lo_numerical,hi_numerical,Site,class_from,class_to,species_from,species_to,class_int,dom_euc
Eucalyptus Dominant,Eucalyptus Dominant,-1.281587369,-2.791873684,0.228698946,-1.331459951,-1.231714787,Herberton,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Dominant,-0.201080158,-0.61332267,0.211162354,-0.210684431,-0.191475885,Herberton,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Dominant,0.003585564,-0.426316255,0.433487383,-0.008221032,0.01539216,Herberton,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. grandis
Non-euc Intermediate,Eucalyptus Dominant,-0.02788775,-1.192155826,1.136380325,-0.046365325,-0.009410175,Herberton,Intermediate,Dominant,Non-euc,Eucalyptus,Intermediate_Dominant,E. grandis
Non-euc Suppressed,Eucalyptus Dominant,-0.189309271,-0.773183668,0.394565126,-0.200261381,-0.178357162,Herberton,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Intermediate,0.132611224,-0.108692647,0.373915095,0.125407445,0.139815003,Herberton,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.050555662,-0.121526422,0.222637746,0.045972458,0.055138866,Herberton,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. grandis
Non-euc Intermediate,Eucalyptus Intermediate,0.065460848,-0.328780453,0.459702149,0.056935769,0.073985928,Herberton,Intermediate,Intermediate,Non-euc,Eucalyptus,Intermediate_Intermediate,E. grandis
Non-euc Suppressed,Eucalyptus Intermediate,-0.176304708,-0.413475133,0.060865717,-0.181549157,-0.171060259,Herberton,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.086037024,-0.146294448,0.318368496,0.077379045,0.094695002,Herberton,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Intermediate,Eucalyptus Suppressed,0.173717157,-0.201058187,0.548492501,0.161711375,0.18572294,Herberton,Intermediate,Suppressed,Non-euc,Eucalyptus,Intermediate_Suppressed,E. grandis
Non-euc Suppressed,Eucalyptus Suppressed,0.097621392,-0.104049812,0.299292597,0.091231313,0.104011471,Herberton,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Intermediate,Non-euc Intermediate,0.048543508,-1.000265981,1.097352996,0.024674063,0.072412952,Herberton,Intermediate,Intermediate,Non-euc,Non-euc,Intermediate_Intermediate,E. grandis
Non-euc Suppressed,Non-euc Intermediate,0.319203185,-0.104199793,0.742606163,0.305661945,0.332744425,Herberton,Suppressed,Intermediate,Non-euc,Non-euc,Suppressed_Intermediate,E. grandis
Non-euc Suppressed,Non-euc Suppressed,0.350462446,-0.001207281,0.702132173,0.338184286,0.362740606,Herberton,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. grandis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,0.112494003,-0.109152143,0.33414015,0.102874588,0.122113419,LambRange,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Co-dominant,-0.902833578,-1.742410486,-0.063256669,-0.963471453,-0.842195702,LambRange,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Co-dominant,0.116924628,-0.296661982,0.530511237,0.106969974,0.126879281,LambRange,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Co-dominant,0.001116173,-0.241513806,0.243746153,-0.005578751,0.007811097,LambRange,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. grandis
Non-euc Intermediate,Eucalyptus Co-dominant,-0.265640274,-0.575831249,0.0445507,-0.27118234,-0.260098208,LambRange,Intermediate,Co-dominant,Non-euc,Eucalyptus,Intermediate_Co-dominant,E. grandis
Non-euc Suppressed,Eucalyptus Co-dominant,-0.009420897,-0.127015535,0.108173742,-0.014132597,-0.004709196,LambRange,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Dominant,-8.442320979,-22.14427537,5.259633409,-8.885604591,-7.999037366,LambRange,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Dominant,0.809536052,-0.991600265,2.610672369,0.763306347,0.855765757,LambRange,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Dominant,-0.83658792,-2.175870745,0.502694906,-0.874425557,-0.798750282,LambRange,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. grandis
Non-euc Intermediate,Eucalyptus Dominant,-0.51157032,-1.973638684,0.950498044,-0.544965724,-0.478174915,LambRange,Intermediate,Dominant,Non-euc,Eucalyptus,Intermediate_Dominant,E. grandis
Non-euc Suppressed,Eucalyptus Dominant,0.41560587,-0.098877003,0.930088743,0.388330561,0.442881178,LambRange,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Intermediate,0.585938314,-0.478029549,1.649906177,0.556630603,0.615246025,LambRange,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.488735798,-0.139168659,1.116640254,0.471909588,0.505562007,LambRange,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. grandis
Non-euc Intermediate,Eucalyptus Intermediate,0.123795754,-0.698447963,0.94603947,0.113550563,0.134040945,LambRange,Intermediate,Intermediate,Non-euc,Eucalyptus,Intermediate_Intermediate,E. grandis
Non-euc Suppressed,Eucalyptus Intermediate,-0.019079833,-0.304888623,0.266728956,-0.026248681,-0.011910985,LambRange,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Suppressed,-0.027889743,-0.517503535,0.461724049,-0.038503373,-0.017276113,LambRange,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Intermediate,Eucalyptus Suppressed,-0.292468327,-0.794790401,0.209853748,-0.299568254,-0.2853684,LambRange,Intermediate,Suppressed,Non-euc,Eucalyptus,Intermediate_Suppressed,E. grandis
Non-euc Suppressed,Eucalyptus Suppressed,-0.116177983,-0.299914147,0.06755818,-0.121090281,-0.111265686,LambRange,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Intermediate,Non-euc Intermediate,-0.054698345,-0.603350637,0.493953946,-0.06329841,-0.046098281,LambRange,Intermediate,Intermediate,Non-euc,Non-euc,Intermediate_Intermediate,E. grandis
Non-euc Suppressed,Non-euc Intermediate,0.075802181,-0.113542462,0.265146824,0.070123253,0.081481108,LambRange,Suppressed,Intermediate,Non-euc,Non-euc,Suppressed_Intermediate,E. grandis
Non-euc Suppressed,Non-euc Suppressed,0.105536069,-0.050654266,0.261726405,0.097527156,0.113544982,LambRange,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. grandis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.274427385,-0.808636553,0.259781784,-0.283278368,-0.265576402,Baldy,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Co-dominant,0.325479822,-0.620222717,1.271182362,0.290759108,0.360200537,Baldy,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Co-dominant,-0.429255745,-1.124662029,0.266150538,-0.445629936,-0.412881555,Baldy,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Co-dominant,0.163914697,-0.128398739,0.456228133,0.158024667,0.169804726,Baldy,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. grandis
Non-euc Intermediate,Eucalyptus Co-dominant,-0.482738424,-1.098933543,0.133456694,-0.490740413,-0.474736436,Baldy,Intermediate,Co-dominant,Non-euc,Eucalyptus,Intermediate_Co-dominant,E. grandis
Non-euc Suppressed,Eucalyptus Co-dominant,0.064189127,-0.099347289,0.227725543,0.059147767,0.069230486,Baldy,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Dominant,-3.006353842,-5.954016066,-0.058691617,-3.281204502,-2.731503182,Baldy,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Dominant,2.355390803,0.498770011,4.212011595,2.227355665,2.483425941,Baldy,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Dominant,-0.585819981,-1.368938045,0.197298083,-0.616312713,-0.555327249,Baldy,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. grandis
Non-euc Intermediate,Eucalyptus Dominant,0.276014456,-0.717272295,1.269301208,0.249254457,0.302774456,Baldy,Intermediate,Dominant,Non-euc,Eucalyptus,Intermediate_Dominant,E. grandis
Non-euc Suppressed,Eucalyptus Dominant,-0.565163574,-1.24155518,0.111228032,-0.588672347,-0.541654801,Baldy,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Intermediate,-1.236492637,-2.622806526,0.149821252,-1.311985966,-1.160999308,Baldy,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.482859766,-0.10121692,1.066936452,0.461947788,0.503771745,Baldy,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. grandis
Non-euc Intermediate,Eucalyptus Intermediate,-0.06627676,-0.836821482,0.704267962,-0.084433877,-0.048119643,Baldy,Intermediate,Intermediate,Non-euc,Eucalyptus,Intermediate_Intermediate,E. grandis
Non-euc Suppressed,Eucalyptus Intermediate,0.310443523,0.016002846,0.6048842,0.297087784,0.323799262,Baldy,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.138664831,-0.150765756,0.428095418,0.13046182,0.146867843,Baldy,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Intermediate,Eucalyptus Suppressed,-0.199443944,-0.70368318,0.304795292,-0.206810473,-0.192077415,Baldy,Intermediate,Suppressed,Non-euc,Eucalyptus,Intermediate_Suppressed,E. grandis
Non-euc Suppressed,Eucalyptus Suppressed,-0.12525197,-0.29876909,0.048265149,-0.130610138,-0.119893803,Baldy,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Intermediate,Non-euc Intermediate,0.313662482,-0.294683236,0.922008201,0.29945717,0.327867794,Baldy,Intermediate,Intermediate,Non-euc,Non-euc,Intermediate_Intermediate,E. grandis
Non-euc Suppressed,Non-euc Intermediate,0.066589597,-0.127149618,0.260328812,0.057862704,0.07531649,Baldy,Suppressed,Intermediate,Non-euc,Non-euc,Suppressed_Intermediate,E. grandis
Non-euc Suppressed,Non-euc Suppressed,0.322177619,0.228377738,0.4159775,0.308468343,0.335886895,Baldy,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. grandis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.396916617,-1.68272322,0.888889986,-0.411100516,-0.382732718,Koombooloomba,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Co-dominant,-0.513150327,-1.353984166,0.327683511,-0.524183213,-0.502117442,Koombooloomba,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Co-dominant,-0.125923959,-0.662332055,0.410484137,-0.134783286,-0.117064631,Koombooloomba,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Co-dominant,-0.233222885,-1.489457223,1.023011453,-0.252497217,-0.213948553,Koombooloomba,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. grandis
Non-euc Co-dominant,Eucalyptus Co-dominant,0.298367731,-1.161842182,1.758577645,0.274018225,0.322717237,Koombooloomba,Co-dominant,Co-dominant,Non-euc,Eucalyptus,Co-dominant_Co-dominant,E. grandis
Non-euc Intermediate,Eucalyptus Co-dominant,-0.11665209,-0.316943207,0.083639027,-0.121713877,-0.111590304,Koombooloomba,Intermediate,Co-dominant,Non-euc,Eucalyptus,Intermediate_Co-dominant,E. grandis
Non-euc Suppressed,Eucalyptus Co-dominant,0.190597609,-0.077785495,0.458980713,0.182529912,0.198665306,Koombooloomba,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Dominant,-0.63938805,-1.563352703,0.284576603,-0.65581418,-0.62296192,Koombooloomba,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Dominant,-0.308089034,-0.887944129,0.271766062,-0.318838643,-0.297339424,Koombooloomba,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Dominant,0.004060088,-1.003259079,1.011379254,-0.019312142,0.027432317,Koombooloomba,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. grandis
Non-euc Co-dominant,Eucalyptus Dominant,0.721331811,-0.334978991,1.777642614,0.691625689,0.751037933,Koombooloomba,Co-dominant,Dominant,Non-euc,Eucalyptus,Co-dominant_Dominant,E. grandis
Non-euc Intermediate,Eucalyptus Dominant,-0.232434242,-0.44751671,-0.017351774,-0.238077352,-0.226791133,Koombooloomba,Intermediate,Dominant,Non-euc,Eucalyptus,Intermediate_Dominant,E. grandis
Non-euc Suppressed,Eucalyptus Dominant,0.238325838,-0.012044557,0.488696233,0.229979777,0.246671898,Koombooloomba,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Intermediate,0.146933578,-0.177701159,0.471568314,0.136957946,0.15690921,Koombooloomba,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.831991641,-0.105839195,1.769822478,0.807139159,0.856844123,Koombooloomba,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. grandis
Non-euc Co-dominant,Eucalyptus Intermediate,-0.852894558,-2.036770444,0.330981329,-0.884004888,-0.821784228,Koombooloomba,Co-dominant,Intermediate,Non-euc,Eucalyptus,Co-dominant_Intermediate,E. grandis
Non-euc Intermediate,Eucalyptus Intermediate,0.109189165,-0.038403666,0.256781996,0.103988117,0.114390212,Koombooloomba,Intermediate,Intermediate,Non-euc,Eucalyptus,Intermediate_Intermediate,E. grandis
Non-euc Suppressed,Eucalyptus Intermediate,-0.086626052,-0.287306658,0.114054555,-0.092829749,-0.080422355,Koombooloomba,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Suppressed,-1.443032776,-4.88594702,1.999881468,-1.509021844,-1.377043708,Koombooloomba,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Co-dominant,Eucalyptus Suppressed,2.232549421,-0.676107297,5.141206139,2.157694179,2.307404663,Koombooloomba,Co-dominant,Suppressed,Non-euc,Eucalyptus,Co-dominant_Suppressed,E. grandis
Non-euc Intermediate,Eucalyptus Suppressed,-0.326681829,-0.84254525,0.189181593,-0.339800572,-0.313563085,Koombooloomba,Intermediate,Suppressed,Non-euc,Eucalyptus,Intermediate_Suppressed,E. grandis
Non-euc Suppressed,Eucalyptus Suppressed,0.472945125,-0.123970614,1.069860864,0.454266328,0.491623922,Koombooloomba,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Co-dominant,Non-euc Co-dominant,-3.049633292,-8.569039529,2.469772944,-3.181373805,-2.91789278,Koombooloomba,Co-dominant,Co-dominant,Non-euc,Non-euc,Co-dominant_Co-dominant,E. grandis
Non-euc Intermediate,Non-euc Co-dominant,0.438958074,0.045224223,0.832691924,0.427080065,0.450836082,Koombooloomba,Intermediate,Co-dominant,Non-euc,Non-euc,Intermediate_Co-dominant,E. grandis
Non-euc Suppressed,Non-euc Co-dominant,-0.314258686,-0.848890656,0.220373284,-0.331288085,-0.297229288,Koombooloomba,Suppressed,Co-dominant,Non-euc,Non-euc,Suppressed_Co-dominant,E. grandis
Non-euc Intermediate,Non-euc Intermediate,0.176777238,0.063518519,0.290035957,0.168503918,0.185050559,Koombooloomba,Intermediate,Intermediate,Non-euc,Non-euc,Intermediate_Intermediate,E. grandis
Non-euc Suppressed,Non-euc Intermediate,0.096544353,0.011504328,0.181584377,0.092535507,0.100553198,Koombooloomba,Suppressed,Intermediate,Non-euc,Non-euc,Suppressed_Intermediate,E. grandis
Non-euc Suppressed,Non-euc Suppressed,0.229944479,0.072473761,0.387415197,0.219968352,0.239920605,Koombooloomba,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. grandis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,0.030116024,-0.263172037,0.323404086,0.021434206,0.038797842,Bruxner,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Co-dominant,-0.047024152,-0.526783951,0.432735647,-0.06140857,-0.032639735,Bruxner,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Co-dominant,0.18673351,-0.100908617,0.474375636,0.178914828,0.194552191,Bruxner,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Co-dominant,0.080065269,-0.100820496,0.260951035,0.075165103,0.084965436,Bruxner,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. grandis
Non-euc Suppressed,Eucalyptus Co-dominant,0.027177202,-0.048710672,0.103065075,0.023581079,0.030773324,Bruxner,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Dominant,-4.545669062,-10.06958909,0.978250963,-4.660183211,-4.431154912,Bruxner,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Dominant,0.946307512,-0.090179512,1.982794535,0.910671739,0.981943284,Bruxner,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Dominant,-0.461852878,-0.99015492,0.066449165,-0.476784722,-0.446921033,Bruxner,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. grandis
Non-euc Suppressed,Eucalyptus Dominant,-0.022555316,-0.151194688,0.106084055,-0.026558733,-0.018551899,Bruxner,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Intermediate,-0.249673966,-0.787123671,0.28777574,-0.261952962,-0.237394969,Bruxner,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.318623035,0.037460438,0.599785631,0.31079367,0.326452399,Bruxner,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. grandis
Non-euc Suppressed,Eucalyptus Intermediate,-0.047624552,-0.141743957,0.046494854,-0.0510981,-0.044151003,Bruxner,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.072583463,-0.201151453,0.346318379,0.063008663,0.082158262,Bruxner,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Suppressed,Eucalyptus Suppressed,-0.044373103,-0.106554911,0.017808706,-0.047611537,-0.041134668,Bruxner,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Suppressed,Non-euc Suppressed,-0.014883795,-0.123268576,0.093500986,-0.036106805,0.006339215,Bruxner,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. grandis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.759000431,-1.464528925,-0.053471937,-0.775520593,-0.742480269,Osullivans,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Co-dominant,-0.452269205,-1.141180592,0.236642182,-0.469406481,-0.435131929,Osullivans,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Co-dominant,1.000678157,0.220644273,1.780712041,0.97443973,1.026916584,Osullivans,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Co-dominant,0.584021419,0.108502357,1.059540482,0.570170613,0.597872226,Osullivans,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. grandis
Non-euc Intermediate,Eucalyptus Co-dominant,-0.4013799,-1.160959957,0.358200157,-0.415987403,-0.386772397,Osullivans,Intermediate,Co-dominant,Non-euc,Eucalyptus,Intermediate_Co-dominant,E. grandis
Non-euc Suppressed,Eucalyptus Co-dominant,-0.035009553,-0.200804478,0.130785371,-0.040554746,-0.029464361,Osullivans,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. grandis
Eucalyptus Dominant,Eucalyptus Dominant,-2.177741524,-4.049141401,-0.306341647,-2.225092116,-2.130390932,Osullivans,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Dominant,0.473933877,-0.581055395,1.528923148,0.448724675,0.499143078,Osullivans,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. grandis
Eucalyptus Suppressed,Eucalyptus Dominant,0.143640917,-0.399258167,0.686540001,0.129053033,0.1582288,Osullivans,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. grandis
Non-euc Intermediate,Eucalyptus Dominant,-1.858408636,-3.297283902,-0.419533369,-1.888882601,-1.82793467,Osullivans,Intermediate,Dominant,Non-euc,Eucalyptus,Intermediate_Dominant,E. grandis
Non-euc Suppressed,Eucalyptus Dominant,-0.025654729,-0.241510446,0.190200988,-0.036713512,-0.014595946,Osullivans,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. grandis
Eucalyptus Intermediate,Eucalyptus Intermediate,-0.480948051,-2.01686478,1.054968678,-0.515050515,-0.446845587,Osullivans,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Intermediate,-0.857831323,-1.669779111,-0.045883534,-0.878355834,-0.837306812,Osullivans,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. grandis
Non-euc Intermediate,Eucalyptus Intermediate,0.192585965,-0.840439084,1.225611013,0.17120704,0.213964889,Osullivans,Intermediate,Intermediate,Non-euc,Eucalyptus,Intermediate_Intermediate,E. grandis
Non-euc Suppressed,Eucalyptus Intermediate,-0.067117178,-0.271741849,0.137507493,-0.074607161,-0.059627196,Osullivans,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. grandis
Eucalyptus Suppressed,Eucalyptus Suppressed,-0.191554384,-0.626633754,0.243524987,-0.203918332,-0.179190436,Osullivans,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Intermediate,Eucalyptus Suppressed,-0.147877913,-0.774947478,0.479191651,-0.158304724,-0.137451103,Osullivans,Intermediate,Suppressed,Non-euc,Eucalyptus,Intermediate_Suppressed,E. grandis
Non-euc Suppressed,Eucalyptus Suppressed,-0.105090161,-0.219723373,0.00954305,-0.109304984,-0.100875339,Osullivans,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. grandis
Non-euc Intermediate,Non-euc Intermediate,-0.496696631,-1.750093831,0.756700569,-0.520666793,-0.472726469,Osullivans,Intermediate,Intermediate,Non-euc,Non-euc,Intermediate_Intermediate,E. grandis
Non-euc Suppressed,Non-euc Intermediate,-0.020482435,-0.233101885,0.192137014,-0.029865328,-0.011099543,Osullivans,Suppressed,Intermediate,Non-euc,Non-euc,Suppressed_Intermediate,E. grandis
Non-euc Suppressed,Non-euc Suppressed,-0.11623115,-0.250467424,0.018005124,-0.132236419,-0.100225881,Osullivans,Suppressed,Suppressed,Non-euc,Non-euc,Suppressed_Suppressed,E. grandis
Eucalyptus Co-dominant,Eucalyptus Co-dominant,0.397543543,-0.75203501,1.547122096,0.376386551,0.418700535,Frankland,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. diversicolor
Eucalyptus Dominant,Eucalyptus Co-dominant,0.395936635,-0.562860768,1.354734037,0.376719079,0.415154191,Frankland,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. diversicolor
Eucalyptus Suppressed,Eucalyptus Co-dominant,-0.071755857,-0.328371734,0.184860019,-0.077176623,-0.066335092,Frankland,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. diversicolor
Non-euc Suppressed,Eucalyptus Co-dominant,0.037525545,-0.658929581,0.733980672,0.026751373,0.048299717,Frankland,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. diversicolor
Eucalyptus Dominant,Eucalyptus Dominant,-1.751091653,-3.779917014,0.277733708,-1.78446007,-1.717723237,Frankland,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. diversicolor
Eucalyptus Suppressed,Eucalyptus Dominant,-0.192662622,-0.47807514,0.092749897,-0.199494042,-0.185831201,Frankland,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. diversicolor
Non-euc Suppressed,Eucalyptus Dominant,-0.252455364,-1.046624893,0.541714165,-0.263858368,-0.24105236,Frankland,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. diversicolor
Eucalyptus Suppressed,Eucalyptus Suppressed,0.15668411,0.013187583,0.300180637,0.148280907,0.165087313,Frankland,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. diversicolor
